timestamp,src_ip,dst_ip,protocol,length,info
2026-08-11T20:55:01.636313,2001:4860:482c:7700::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP-DATA,88,443 -> 61524 Len=34
2026-08-11T20:55:01.650621,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,102,443 -> 56320 Len=48
2026-08-11T20:55:01.652080,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,1292,443 -> 56320 Len=1238
2026-08-11T20:55:01.655802,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,1292,443 -> 56320 Len=1238
2026-08-11T20:55:01.655804,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,341,443 -> 56320 Len=287
2026-08-11T20:55:01.655805,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,88,443 -> 56320 Len=34
2026-08-11T20:55:01.656084,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,1013,443 -> 56320 Len=959
2026-08-11T20:55:01.656774,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2404:6800:4000:1010::5e,QUIC,140,56320 -> 443 Len=86
2026-08-11T20:55:01.656917,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2404:6800:4000:1010::5e,QUIC,95,56320 -> 443 Len=41
2026-08-11T20:55:01.657034,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2404:6800:4000:1010::5e,QUIC,93,56320 -> 443 Len=39
2026-08-11T20:55:01.657310,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2404:6800:4000:1010::5e,QUIC,668,56320 -> 443 Len=614
2026-08-11T20:55:01.677875,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,86,443 -> 56320 Len=32
2026-08-11T20:55:01.713745,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,182,443 -> 56320 Len=128
2026-08-11T20:55:01.716983,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,91,443 -> 56320 Len=37
2026-08-11T20:55:01.717426,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2404:6800:4000:1010::5e,QUIC,94,56320 -> 443 Len=40
2026-08-11T20:55:01.782934,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,626,443 -> 56320 Len=572
2026-08-11T20:55:01.782936,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,83,443 -> 56320 Len=29
2026-08-11T20:55:01.783506,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2404:6800:4000:1010::5e,QUIC,97,56320 -> 443 Len=43
2026-08-11T20:55:01.857778,2404:6800:4000:1010::5e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,QUIC,86,443 -> 56320 Len=32
2026-08-11T20:55:02.267236,fe80::a042:b2ff:fe4e:1aca,ff02::1:ffaf:658d,ICMPV6,86,ICMPV6
2026-08-11T20:55:02.339690,2409:40f4:200f:afab:f1e4:eebc:763b:aad,64:ff9b::2236:546e,TLS,119,TLS application data (encrypted)
2026-08-11T20:55:02.405416,64:ff9b::2236:546e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 31035 [ACK] Len=0
2026-08-11T20:55:02.752826,64:ff9b::2236:546e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TLS,151,TLS application data (encrypted)
2026-08-11T20:55:02.753196,2409:40f4:200f:afab:f1e4:eebc:763b:aad,64:ff9b::2236:546e,TLS,113,TLS application data (encrypted)
2026-08-11T20:55:02.767538,fe80::a042:b2ff:fe4e:1aca,ff02::1:ffdd:ede9,ICMPV6,86,ICMPV6
2026-08-11T20:55:02.819243,64:ff9b::2236:546e,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 31035 [ACK] Len=0
2026-08-11T20:55:02.843069,2409:40f4:200f:afab:f1e4:eebc:763b:aad,2001:4860:4844:400::,TLS,591,TLS application data (encrypted)
2026-08-11T20:55:02.881687,2001:4860:4844:400::,2409:40f4:200f:afab:f1e4:eebc:763b:aad,TCP,74,443 -> 25476 [ACK] Len=0
